"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 28 07:37:34 GMT 2025","Fri Mar 28 07:37:50 GMT 2025","15400","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuild","User should be able to create build",""
"skipped","Fri Mar 28 07:38:03 GMT 2025","Fri Mar 28 07:38:03 GMT 2025","2","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildWithoutName","User cannot create a build without name",""
"passed","Fri Mar 28 07:37:11 GMT 2025","Fri Mar 28 07:37:34 GMT 2025","23592","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"failed","Fri Mar 28 07:38:03 GMT 2025","Fri Mar 28 07:38:03 GMT 2025","5","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","afterTest","afterTest",""
"passed","Fri Mar 28 07:35:27 GMT 2025","Fri Mar 28 07:36:17 GMT 2025","50482","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Fri Mar 28 07:37:50 GMT 2025","Fri Mar 28 07:38:03 GMT 2025","12692","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildStep","User should be able to create build step",""
"passed","Fri Mar 28 07:36:30 GMT 2025","Fri Mar 28 07:37:10 GMT 2025","39938","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchProject","User should be able search for project",""
