"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 11 17:01:00 GMT 2025","Fri Apr 11 17:01:08 GMT 2025","7858","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildWithoutName","User cannot create a build without name",""
"passed","Fri Apr 11 17:01:08 GMT 2025","Fri Apr 11 17:01:17 GMT 2025","9165","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userRunBuildWithStep","User should be able to run build with step",""
"passed","Fri Apr 11 17:00:48 GMT 2025","Fri Apr 11 17:01:00 GMT 2025","11448","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuild","User should be able to create build",""
"passed","Fri Apr 11 16:57:38 GMT 2025","Fri Apr 11 16:58:32 GMT 2025","53687","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Fri Apr 11 16:59:34 GMT 2025","Fri Apr 11 16:59:40 GMT 2025","6249","Surefire suite","Surefire test","com.example.teamcity.api.SetupAgentTest","com.example.teamcity.api.SetupAgentTest","setupAgentTest","setupAgentTest",""
"passed","Fri Apr 11 17:00:25 GMT 2025","Fri Apr 11 17:00:48 GMT 2025","22817","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Fri Apr 11 16:59:52 GMT 2025","Fri Apr 11 17:00:25 GMT 2025","32342","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchProject","User should be able search for project",""
