"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 10 20:34:22 GMT 2025","Thu Apr 10 20:34:42 GMT 2025","19877","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Thu Apr 10 20:33:31 GMT 2025","Thu Apr 10 20:33:38 GMT 2025","7109","Surefire suite","Surefire test","com.example.teamcity.api.SetupAgentTest","com.example.teamcity.api.SetupAgentTest","setupAgentTest","setupAgentTest",""
"passed","Thu Apr 10 20:34:42 GMT 2025","Thu Apr 10 20:34:52 GMT 2025","9801","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuild","User should be able to create build",""
"passed","Thu Apr 10 20:33:50 GMT 2025","Thu Apr 10 20:34:21 GMT 2025","31438","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchProject","User should be able search for project",""
"passed","Thu Apr 10 20:34:52 GMT 2025","Thu Apr 10 20:34:59 GMT 2025","7219","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildWithoutName","User cannot create a build without name",""
"passed","Thu Apr 10 20:31:31 GMT 2025","Thu Apr 10 20:32:25 GMT 2025","54723","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Apr 10 20:35:00 GMT 2025","Thu Apr 10 20:35:09 GMT 2025","9204","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userRunBuildWithStep","User should be able to run build with step",""
