"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 11 11:57:15 GMT 2025","Fri Apr 11 11:57:23 GMT 2025","8125","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userRunBuildWithStep","User should be able to run build with step",""
"passed","Fri Apr 11 11:53:47 GMT 2025","Fri Apr 11 11:54:41 GMT 2025","53421","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Fri Apr 11 11:56:36 GMT 2025","Fri Apr 11 11:56:55 GMT 2025","18923","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Fri Apr 11 11:56:05 GMT 2025","Fri Apr 11 11:56:35 GMT 2025","30172","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchProject","User should be able search for project",""
"passed","Fri Apr 11 11:56:55 GMT 2025","Fri Apr 11 11:57:05 GMT 2025","9794","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuild","User should be able to create build",""
"passed","Fri Apr 11 11:55:46 GMT 2025","Fri Apr 11 11:55:53 GMT 2025","7153","Surefire suite","Surefire test","com.example.teamcity.api.SetupAgentTest","com.example.teamcity.api.SetupAgentTest","setupAgentTest","setupAgentTest",""
"passed","Fri Apr 11 11:57:05 GMT 2025","Fri Apr 11 11:57:14 GMT 2025","9045","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildWithoutName","User cannot create a build without name",""
