"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Thu Mar 27 14:44:59 GMT 2025","Thu Mar 27 14:44:59 GMT 2025","2","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userRunBuildWithStep","User should be able to run build with step",""
"skipped","Thu Mar 27 14:46:33 GMT 2025","Thu Mar 27 14:46:33 GMT 2025","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildWithoutName","User cannot create a build without name",""
"failed","Thu Mar 27 14:46:33 GMT 2025","Thu Mar 27 14:46:33 GMT 2025","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","afterTest","afterTest",""
"passed","Thu Mar 27 14:45:00 GMT 2025","Thu Mar 27 14:45:39 GMT 2025","39434","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchProject","User should be able search for project",""
"passed","Thu Mar 27 14:46:06 GMT 2025","Thu Mar 27 14:46:21 GMT 2025","14867","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuild","User should be able to create build",""
"passed","Thu Mar 27 14:46:21 GMT 2025","Thu Mar 27 14:46:33 GMT 2025","12230","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildStep","User should be able to create build step",""
"passed","Thu Mar 27 14:43:51 GMT 2025","Thu Mar 27 14:44:48 GMT 2025","56448","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Mar 27 14:45:40 GMT 2025","Thu Mar 27 14:46:05 GMT 2025","25463","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
