"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 28 13:33:29 GMT 2025","Fri Mar 28 13:33:44 GMT 2025","14339","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuild","User should be able to create build",""
"passed","Fri Mar 28 13:31:10 GMT 2025","Fri Mar 28 13:32:12 GMT 2025","62007","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Fri Mar 28 13:33:44 GMT 2025","Fri Mar 28 13:33:54 GMT 2025","9820","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildWithoutName","User cannot create a build without name",""
"broken","Fri Mar 28 13:33:44 GMT 2025","Fri Mar 28 13:33:44 GMT 2025","102","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildStep","User should be able to create build step",""
"passed","Fri Mar 28 13:33:04 GMT 2025","Fri Mar 28 13:33:29 GMT 2025","24756","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Fri Mar 28 13:32:25 GMT 2025","Fri Mar 28 13:33:04 GMT 2025","38770","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchProject","User should be able search for project",""
