"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Mar 27 10:14:17 GMT 2025","Thu Mar 27 10:14:27 GMT 2025","9466","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildStep","User should be able to create build step",""
"failed","Thu Mar 27 10:14:34 GMT 2025","Thu Mar 27 10:14:42 GMT 2025","7897","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userRunBuildWithStep","User should be able to run build with step",""
"passed","Thu Mar 27 10:14:27 GMT 2025","Thu Mar 27 10:14:34 GMT 2025","6985","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildWithoutName","User cannot create a build without name",""
"passed","Thu Mar 27 10:11:41 GMT 2025","Thu Mar 27 10:12:34 GMT 2025","53313","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"broken","Thu Mar 27 10:12:46 GMT 2025","Thu Mar 27 10:13:35 GMT 2025","48488","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchProject","User should be able search for project",""
"failed","Thu Mar 27 10:13:44 GMT 2025","Thu Mar 27 10:14:17 GMT 2025","32851","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuild","User should be able to create build",""
"failed","Thu Mar 27 10:13:35 GMT 2025","Thu Mar 27 10:13:44 GMT 2025","8708","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
