"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 27 15:54:43 GMT 2025","Thu Mar 27 15:55:28 GMT 2025","45540","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchProject","User should be able search for project",""
"passed","Thu Mar 27 15:53:37 GMT 2025","Thu Mar 27 15:54:31 GMT 2025","54293","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"failed","Thu Mar 27 15:56:10 GMT 2025","Thu Mar 27 15:56:23 GMT 2025","13495","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildStep","User should be able to create build step",""
"passed","Thu Mar 27 15:55:53 GMT 2025","Thu Mar 27 15:56:09 GMT 2025","16553","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuild","User should be able to create build",""
"passed","Thu Mar 27 15:55:29 GMT 2025","Thu Mar 27 15:55:53 GMT 2025","23750","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Thu Mar 27 15:56:24 GMT 2025","Thu Mar 27 15:56:34 GMT 2025","10320","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildWithoutName","User cannot create a build without name",""
