"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 28 15:12:55 GMT 2025","Fri Mar 28 15:13:11 GMT 2025","16059","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuild","User should be able to create build",""
"passed","Fri Mar 28 15:13:11 GMT 2025","Fri Mar 28 15:13:22 GMT 2025","10422","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildWithoutName","User cannot create a build without name",""
"passed","Fri Mar 28 15:10:40 GMT 2025","Fri Mar 28 15:11:32 GMT 2025","52240","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Fri Mar 28 15:12:30 GMT 2025","Fri Mar 28 15:12:54 GMT 2025","24031","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Fri Mar 28 15:11:45 GMT 2025","Fri Mar 28 15:12:30 GMT 2025","44385","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchProject","User should be able search for project",""
