"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 07 17:58:50 GMT 2025","Mon Apr 07 17:59:41 GMT 2025","50452","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Mon Apr 07 17:59:53 GMT 2025","Mon Apr 07 18:00:35 GMT 2025","42447","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchProject","User should be able search for project",""
"passed","Mon Apr 07 18:00:36 GMT 2025","Mon Apr 07 18:01:01 GMT 2025","25143","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Mon Apr 07 18:01:15 GMT 2025","Mon Apr 07 18:01:25 GMT 2025","9479","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildWithoutName","User cannot create a build without name",""
"passed","Mon Apr 07 18:01:01 GMT 2025","Mon Apr 07 18:01:15 GMT 2025","14027","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuild","User should be able to create build",""
