"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 27 15:06:48 GMT 2025","Thu Mar 27 15:07:12 GMT 2025","24422","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Thu Mar 27 15:06:06 GMT 2025","Thu Mar 27 15:06:47 GMT 2025","41304","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchProject","User should be able search for project",""
"skipped","Thu Mar 27 15:07:41 GMT 2025","Thu Mar 27 15:07:41 GMT 2025","0","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildWithoutName","User cannot create a build without name",""
"passed","Thu Mar 27 15:05:03 GMT 2025","Thu Mar 27 15:05:54 GMT 2025","50519","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Mar 27 15:07:12 GMT 2025","Thu Mar 27 15:07:28 GMT 2025","15816","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuild","User should be able to create build",""
"failed","Thu Mar 27 15:07:41 GMT 2025","Thu Mar 27 15:07:41 GMT 2025","0","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","afterTest","afterTest",""
"passed","Thu Mar 27 15:07:28 GMT 2025","Thu Mar 27 15:07:41 GMT 2025","13004","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildStep","User should be able to create build step",""
