"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 28 06:54:12 GMT 2025","Fri Mar 28 06:55:06 GMT 2025","53610","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Fri Mar 28 06:55:59 GMT 2025","Fri Mar 28 06:56:22 GMT 2025","22384","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Fri Mar 28 06:55:18 GMT 2025","Fri Mar 28 06:55:59 GMT 2025","40806","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchProject","User should be able search for project",""
"failed","Fri Mar 28 06:56:48 GMT 2025","Fri Mar 28 06:56:48 GMT 2025","0","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","afterTest","afterTest",""
"skipped","Fri Mar 28 06:56:48 GMT 2025","Fri Mar 28 06:56:48 GMT 2025","6","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildWithoutName","User cannot create a build without name",""
"passed","Fri Mar 28 06:56:35 GMT 2025","Fri Mar 28 06:56:48 GMT 2025","12923","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildStep","User should be able to create build step",""
"passed","Fri Mar 28 06:56:22 GMT 2025","Fri Mar 28 06:56:35 GMT 2025","12847","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuild","User should be able to create build",""
