"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 27 16:20:05 GMT 2025","Thu Mar 27 16:20:18 GMT 2025","12961","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildStep","User should be able to create build step",""
"passed","Thu Mar 27 16:17:37 GMT 2025","Thu Mar 27 16:18:31 GMT 2025","53253","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"failed","Thu Mar 27 16:20:18 GMT 2025","Thu Mar 27 16:20:18 GMT 2025","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","afterTest","afterTest",""
"passed","Thu Mar 27 16:18:43 GMT 2025","Thu Mar 27 16:19:24 GMT 2025","41416","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchProject","User should be able search for project",""
"skipped","Thu Mar 27 16:20:18 GMT 2025","Thu Mar 27 16:20:18 GMT 2025","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildWithoutName","User cannot create a build without name",""
"passed","Thu Mar 27 16:19:49 GMT 2025","Thu Mar 27 16:20:04 GMT 2025","15219","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuild","User should be able to create build",""
"passed","Thu Mar 27 16:19:25 GMT 2025","Thu Mar 27 16:19:49 GMT 2025","24140","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
