"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 11 19:22:04 GMT 2025","Fri Apr 11 19:22:12 GMT 2025","7781","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userRunBuildWithStep","User should be able to run build with step",""
"passed","Fri Apr 11 19:21:28 GMT 2025","Fri Apr 11 19:21:47 GMT 2025","18995","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Fri Apr 11 19:20:41 GMT 2025","Fri Apr 11 19:20:41 GMT 2025","254","Surefire suite","Surefire test","com.example.teamcity.api.SetupAgentTest","com.example.teamcity.api.SetupAgentTest","setupAgentTest","setupAgentTest",""
"passed","Fri Apr 11 19:21:47 GMT 2025","Fri Apr 11 19:21:57 GMT 2025","9566","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuild","User should be able to create build",""
"passed","Fri Apr 11 19:21:57 GMT 2025","Fri Apr 11 19:22:04 GMT 2025","7234","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildWithoutName","User cannot create a build without name",""
"passed","Fri Apr 11 19:20:55 GMT 2025","Fri Apr 11 19:21:27 GMT 2025","32548","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchProject","User should be able search for project",""
"passed","Fri Apr 11 19:18:42 GMT 2025","Fri Apr 11 19:19:35 GMT 2025","53568","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
