"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Mar 27 10:44:29 GMT 2025","Thu Mar 27 10:44:44 GMT 2025","15410","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuild","User should be able to create build",""
"failed","Thu Mar 27 10:44:06 GMT 2025","Thu Mar 27 10:44:29 GMT 2025","22612","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"broken","Thu Mar 27 10:43:18 GMT 2025","Thu Mar 27 10:44:06 GMT 2025","47698","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectTest","com.example.teamcity.ui.SearchProjectTest","userSearchProject","User should be able search for project",""
"failed","Thu Mar 27 10:45:01 GMT 2025","Thu Mar 27 10:45:09 GMT 2025","8160","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userRunBuildWithStep","User should be able to run build with step",""
"failed","Thu Mar 27 10:44:45 GMT 2025","Thu Mar 27 10:44:54 GMT 2025","8726","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildStep","User should be able to create build step",""
"passed","Thu Mar 27 10:44:54 GMT 2025","Thu Mar 27 10:45:01 GMT 2025","6072","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildWithoutName","User cannot create a build without name",""
"passed","Thu Mar 27 10:42:15 GMT 2025","Thu Mar 27 10:43:05 GMT 2025","50636","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
